0,1
D:/RAE/dataset3_es\amistoso_12.png,amistoso
D:/RAE/dataset3_es\anhidrita_3.png,anhidrita
D:/RAE/dataset3_es\coeficiente_4.png,coeficiente
D:/RAE/dataset3_es\parodia_5.png,parodia
D:/RAE/dataset3_es\vehicular_5.png,vehicular
D:/RAE/dataset3_es\uva_8.png,uva
D:/RAE/dataset3_es\mitificar_10.png,mitificar
D:/RAE/dataset3_es\raspaje_6.png,raspaje
D:/RAE/dataset3_es\legado_4.png,legado
D:/RAE/dataset3_es\arracache_7.png,arracache
D:/RAE/dataset3_es\psicomotor_8.png,psicomotor
D:/RAE/dataset3_es\porvida_3.png,porvida
D:/RAE/dataset3_es\acebuchina_8.png,acebuchina
D:/RAE/dataset3_es\palatino_5.png,palatino
D:/RAE/dataset3_es\lagana_14.png,lagaña
D:/RAE/dataset3_es\arduo_8.png,arduo
D:/RAE/dataset3_es\laringologo_2.png,laringologo
D:/RAE/dataset3_es\graciosidad_9.png,graciosidad
D:/RAE/dataset3_es\yal_9.png,yal
D:/RAE/dataset3_es\camaronada_2.png,camaronada
D:/RAE/dataset3_es\caloridoro_9.png,caloridoro
D:/RAE/dataset3_es\gravedad_14.png,gravedad
D:/RAE/dataset3_es\panteismo_0.png,panteismo
D:/RAE/dataset3_es\juanillo_11.png,juanillo
D:/RAE/dataset3_es\durando_13.png,durando
D:/RAE/dataset3_es\yihadismo_1.png,yihadismo
D:/RAE/dataset3_es\encia_12.png,encia
D:/RAE/dataset3_es\brilloso_12.png,brilloso
D:/RAE/dataset3_es\maremagnum_13.png,maremagnum
D:/RAE/dataset3_es\braveza_8.png,braveza
D:/RAE/dataset3_es\encaballar_10.png,encaballar
D:/RAE/dataset3_es\permanente_1.png,permanente
D:/RAE/dataset3_es\tintorera_12.png,tintorera
D:/RAE/dataset3_es\sanies_9.png,sanies
D:/RAE/dataset3_es\desaturdir_1.png,desaturdir
D:/RAE/dataset3_es\casimir_5.png,casimir
D:/RAE/dataset3_es\totilimundi_12.png,totilimundi
D:/RAE/dataset3_es\azoque_8.png,azoque
D:/RAE/dataset3_es\bivalvo_14.png,bivalvo
D:/RAE/dataset3_es\desvelador_7.png,desvelador
D:/RAE/dataset3_es\guardia_8.png,guardia
D:/RAE/dataset3_es\adepto_6.png,adepto
D:/RAE/dataset3_es\laganazo_0.png,lagañazo
D:/RAE/dataset3_es\guindilla_14.png,guindilla
D:/RAE/dataset3_es\achichinque_13.png,achichinque
D:/RAE/dataset3_es\venerable_12.png,venerable
D:/RAE/dataset3_es\trasladar_11.png,trasladar
D:/RAE/dataset3_es\desafecto_1.png,desafecto
D:/RAE/dataset3_es\falico_2.png,falico
D:/RAE/dataset3_es\gueneria_4.png,gueñeria
D:/RAE/dataset3_es\deguella_12.png,deguella
D:/RAE/dataset3_es\noneco_6.png,noneco
D:/RAE/dataset3_es\tersidad_13.png,tersidad
D:/RAE/dataset3_es\flejar_2.png,flejar
D:/RAE/dataset3_es\bobera_10.png,bobera
D:/RAE/dataset3_es\novator_11.png,novator
D:/RAE/dataset3_es\bici_8.png,bici
D:/RAE/dataset3_es\segallo_14.png,segallo
D:/RAE/dataset3_es\efectuar_9.png,efectuar
D:/RAE/dataset3_es\abondar_6.png,abondar
D:/RAE/dataset3_es\fluidez_5.png,fluidez
D:/RAE/dataset3_es\acambrayado_8.png,acambrayado
D:/RAE/dataset3_es\vacilon_5.png,vacilon
D:/RAE/dataset3_es\persistir_13.png,persistir
D:/RAE/dataset3_es\imprimir_6.png,imprimir
D:/RAE/dataset3_es\lumaquela_4.png,lumaquela
D:/RAE/dataset3_es\panchero_6.png,panchero
D:/RAE/dataset3_es\zurrapa_14.png,zurrapa
D:/RAE/dataset3_es\robado_6.png,robado
D:/RAE/dataset3_es\articulista_3.png,articulista
D:/RAE/dataset3_es\homofono_5.png,homofono
D:/RAE/dataset3_es\hado_13.png,hado
D:/RAE/dataset3_es\chambear_13.png,chambear
D:/RAE/dataset3_es\parasitar_3.png,parasitar
D:/RAE/dataset3_es\materico_2.png,materico
D:/RAE/dataset3_es\mutilar_0.png,mutilar
D:/RAE/dataset3_es\conticinio_12.png,conticinio
D:/RAE/dataset3_es\freza_5.png,freza
D:/RAE/dataset3_es\saltaren_13.png,saltaren
D:/RAE/dataset3_es\ferreteria_9.png,ferreteria
D:/RAE/dataset3_es\tanor_6.png,tanor
D:/RAE/dataset3_es\garmasa_1.png,garmasa
D:/RAE/dataset3_es\prelacion_14.png,prelacion
D:/RAE/dataset3_es\desmedirse_1.png,desmedirse
D:/RAE/dataset3_es\cadera_8.png,cadera
D:/RAE/dataset3_es\maremagnum_12.png,maremagnum
D:/RAE/dataset3_es\azigos_10.png,azigos
D:/RAE/dataset3_es\baciga_14.png,baciga
D:/RAE/dataset3_es\convicto_6.png,convicto
D:/RAE/dataset3_es\metatizar_0.png,metatizar
D:/RAE/dataset3_es\cuena_7.png,cueña
D:/RAE/dataset3_es\albacara_6.png,albacara
D:/RAE/dataset3_es\afectividad_14.png,afectividad
D:/RAE/dataset3_es\reenvio_2.png,reenvio
D:/RAE/dataset3_es\entore_11.png,entore
D:/RAE/dataset3_es\loza_10.png,loza
D:/RAE/dataset3_es\tonelaje_13.png,tonelaje
D:/RAE/dataset3_es\naucher_0.png,naucher
D:/RAE/dataset3_es\peyotero_9.png,peyotero
D:/RAE/dataset3_es\medicolegal_3.png,medicolegal
